MeasurementRun,Coments,BeamSize,AcceleratingVoltage,BeamCurrent,StandardID,n,SiO2,SD_SiO2,RSD_SiO2,TiO2,SD_TiO2,RSD_TiO2,Al2O3,SD_Al2O3,RSD_Al2O3,Fe2O3T,SD_Fe2O3T,FeOT,SD_FeOT,RSD_FeOT,MnO,SD_MnO,RSD_MnO,MgO,SD_MgO,RSD_MgO,CaO,SD_CaO,RSD_CaO,Na2O,SD_Na2O,RSD_Na2O,K2O,SD_K2O,RSD_K2O,P2O5,SD_P2O5,RSD_P2O5,Cl,SD_Cl,RSD_Cl,Total,SD1_Total,Rb,SD_Rb,RSD_Rb,Sr,SD_Sr,RSD_Sr,Y,SD_Y,RSD_Y,Zr,SD_Zr,RSD_Zr,Nb,SD_Nb,RSD_Nb,Cs,SD_Cs,RSD_Cs,Ba,SD_Ba,RSD_Ba,La,SD_La,RSD_La,Ce,SD_Ce,RSD_Ce,Pr,SD_Pr,RSD_Pr,Nd,SD_Nd,RSD_Nd,Sm,SD_Sm,RSD_Sm,Eu,SD_Eu,RSD_Eu,Gd,SD_Gd,RSD_Gd,Tb,SD_Tb,RSD_Tb,Dy,SD_Dy,RSD_Dy,Ho,SD_Ho,RSD_Ho,Er,SD_Er,RSD_Er,Tm,SD_Tm,RSD_Tm,Yb,SD_Yb,RSD_Yb,Lu,SD_Lu,RSD_Lu,Hf,SD_Hf,RSD_Hf,Ta,SD_Ta,RSD_Ta,Pb,SD_Pb,RSD_Pb,Th,SD_Th,RSD_Th,U,SD_U,RSD_U
260117,,10,15,6,StHs6/80-G,17,63.3508,0.1704,0.27,0.7086,0.0325,4.59,17.73,0.1075,0.61,,,4.3786,0.1202,2.75,0.0799,0.0472,59.07,1.964,0.0325,1.65,5.3091,0.0721,1.36,4.4839,0.2538,5.66,1.2956,0.0407,3.14,0.1592,0.0214,13.44,,,,99.47428824,0.25876747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270118,,10,15,6,ATHO-G,16,75.584,0.4079,0.54,0.2387,0.0249,10.43,12.2086,0.1426,1.17,,,3.2328,0.1045,3.23,0.0867,0.0449,51.79,0.0984,0.0178,18.09,1.686,0.0358,2.12,4.2197,0.1295,3.07,2.7233,0.0436,1.6,0.0314,0.0179,57.01,,,,100.1466625,0.57466713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270118,,10,15,6,GOR132-G,16,45.5956,0.2352,0.52,0.2886,0.0207,7.17,10.819,0.1126,1.04,,,10.1652,0.2285,2.25,0.1643,0.029,17.65,22.1793,0.1234,0.56,8.3841,0.091,1.09,0.8279,0.067,8.09,0.0332,0.0107,32.23,0.0723,0.0275,38.04,,,,98.5328125,0.41790134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270118,,10,15,6,StHs6/80-G,16,63.6709,0.2803,0.44,0.7035,0.0385,5.47,17.5388,0.1881,1.07,,,4.4444,0.2081,4.68,0.1041,0.054,51.87,1.9509,0.0232,1.19,5.2106,0.0724,1.39,4.6334,0.1922,4.15,1.2837,0.0331,2.58,0.1735,0.0263,15.16,,,,99.72295,0.6065716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270217,Marked ATHO-1G in the publication.,10,15,6,ATHO-G,8,75.085975,0.35097228,0.47,0.2444625,0.02430185,9.94,12.2460875,0.07104623,0.58,,,3.3031125,0.10169025,3.08,0.117425,0.03736694,31.82,0.09135,0.01638963,17.94,1.7095375,0.05570458,3.26,4.0707375,0.08124536,2,2.7736625,0.05411247,1.95,0.02015,0.02283243,113.31,,,,99.69825,0.37335744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270217,,10,15,6,GOR132-G,8,45.93495,0.28476045,0.62,0.3248125,0.03028429,9.32,10.9074,0.09606394,0.88,,,10.2766375,0.31854866,3.1,0.1922375,0.06149214,31.99,22.0814875,0.14267722,0.65,8.630725,0.09756843,1.13,0.8199625,0.06684109,8.15,0.0329875,0.01353075,41.02,0.05865,0.02635651,44.94,,,,99.267275,0.48984761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270217,,10,15,6,StHs6/80-G,8,63.646325,0.43090147,0.68,0.7154625,0.02652955,3.71,17.6068375,0.1247745,0.71,,,4.5265125,0.16196846,3.58,0.06745,0.05119152,75.9,1.9344,0.06385215,3.3,5.3529375,0.07674972,1.43,4.404425,0.20519124,4.66,1.3183875,0.04022055,3.05,0.1479625,0.02305992,15.58,,,,99.7345375,0.46445273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270918,,10,15,6,GOR132-G,15,45.8436,0.40131851,0.88,0.29336667,0.02057476,7.01,9.89794,0.13911166,1.41,,,9.62564667,0.2641329,2.74,0.15643333,0.05736006,36.67,25.75822667,0.17740933,0.69,6.1768,0.08478252,1.37,0.56168,0.07123754,12.68,0.03340667,0.01479857,44.3,0.03296,0.02499325,75.83,,,,98.38459333,0.67565718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270918,,10,15,6,KL2-G,15,49.98923333,0.39754442,0.8,2.58144,0.05955677,2.31,13.45392667,0.18584692,1.38,,,10.67712,0.20829119,1.95,0.16810667,0.03955216,23.53,7.30696,0.08267665,1.13,10.86168,0.13840997,1.27,2.2635,0.05316415,2.35,0.48431333,0.0152442,3.15,0.29137333,0.03081367,10.58,,,,98.08327333,0.68442514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270918,,10,15,6,StHs6/80-G,15,63.31823333,0.39542192,0.62,0.688186667,0.05299861,7.7,17.67186667,0.29783287,1.69,,,4.331953333,0.20840902,4.81,0.07734667,0.04184002,54.09,1.94954,0.04500517,2.31,5.20880667,0.07073466,1.36,4.59906,0.16569572,3.6,1.30568,0.04363246,3.34,0.143026667,0.02349348,16.43,,,,99.30214,0.70424048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
